id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-11256,2025-11-04,000001,Vente en l'état futur d'achèvement,478500,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2852,,,27,,,,,,,,,,1,,,,,,,,,,6.000856,46.251725
2025-11256,2025-11-04,000001,Vente en l'état futur d'achèvement,478500,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2852,,,28,,,,,,,,,,1,,,,,,,,,,6.000856,46.251725
2025-11256,2025-11-04,000001,Vente en l'état futur d'achèvement,478500,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2852,,,29,,,,,,,,,,1,,,,,,,,,,6.000856,46.251725
2025-11256,2025-11-04,000001,Vente en l'état futur d'achèvement,478500,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2852,,,3,,,,,,,,,,1,,,,,,,,,,6.000856,46.251725
2025-11352,2025-10-24,000001,Vente,662500,,,LES HAUTAINS BASSET,B030,01630,01401,Sergy,01,,,014010000B1506,,,,,,,,,,,,,0,,,,,S,sols,,,32,5.994296,46.260591
2025-11352,2025-10-24,000001,Vente,662500,,,LES HAUTAINS BASSET,B030,01630,01401,Sergy,01,,,014010000B1517,,,,,,,,,,,,,0,,,,,S,sols,,,279,5.995418,46.261205
2025-11352,2025-10-24,000001,Vente,662500,24,,CHE DU GRAND CRET,0064,01630,01401,Sergy,01,,,014010000B1523,,,,,,,,,,,,,0,1,Maison,130,6,S,sols,,,423,5.994721,46.260406
2025-11352,2025-10-24,000001,Vente,662500,,,LES HAUTAINS BASSET,B030,01630,01401,Sergy,01,,,014010000B1524,,,,,,,,,,,,,0,,,,,S,sols,,,281,5.99456,46.260308
2025-11352,2025-10-24,000001,Vente,662500,,,LES HAUTAINS BASSET,B030,01630,01401,Sergy,01,,,014010000B1526,,,,,,,,,,,,,0,,,,,S,sols,,,105,5.994367,46.260529
2025-11734,2025-11-25,000001,Vente,15660,,,EN GENEVRY,B027,01630,01401,Sergy,01,,,014010000B0240,,,,,,,,,,,,,0,,,,,P,prés,,,3280,5.988741,46.261662
2025-11734,2025-11-25,000001,Vente,15660,,,LES CHAMPS FINDREUX,B010,01630,01401,Sergy,01,,,014010000C0505,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,7840,6.013779,46.243995
2025-11734,2025-11-25,000001,Vente,15660,,,LES CHAMPS FINDREUX,B010,01630,01401,Sergy,01,,,014010000C0506,,,,,,,,,,,,,0,,,,,P,prés,,,4460,6.014085,46.243694
2025-11734,2025-11-25,000001,Vente,15660,,,LES CHAMPS FINDREUX,B010,01630,01401,Sergy,01,,,014010000C0507,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,1945,6.013726,46.242864
