code_commune|surface|type_local|etiquette_dpe|annee_construction|annee_mutation|prix_m2
01173|164|Maison|D||2025|5657
01173|146|Maison|G||2025|2432
01173|98|Maison|D|1900|2025|3545
01173|85|Maison|E||2025|6059
01173|186|Maison|C|2001|2025|5565
01173|105|Maison|D|2006|2025|5229
01173|130|Maison|D|1985|2025|5000
01173|180|Maison|D|1986|2025|6944
01173|97|Maison|C|2002|2025|5464
01173|137|Maison|C|2013|2025|6934
01173|86|Maison|D|1987|2025|7035
01173|71|Maison|D|2000|2025|6056
01173|127|Maison|C|2001|2025|5984
01173|158|Maison|D|2008|2025|4864
01173|215|Maison|E|1800|2025|3917
01173|105|Maison|D|2002|2025|5381
01173|336|Maison|E|1981|2025|2462
01281|378|Maison|C|2007|2025|2447
01281|125|Maison|C|2017|2025|5440
01281|104|Maison|F|2006|2025|4375
01281|214|Maison|F|1974|2025|3154
01281|135|Maison|D||2025|5374
01281|96|Maison|E|1984|2025|6172
01281|80|Maison|G|1962|2025|9750
01281|146|Maison|C|1970|2025|5906
01281|130|Maison|D||2025|1955
01281|86|Maison|F|1974|2025|5581
01281|105|Maison|C|2011|2025|5333
01281|340|Maison|C|2004|2025|3779
01281|139|Maison|D|2000|2025|6619
01281|326|Maison|C|2003|2025|2454
01281|142|Maison|C|2003|2025|5232
01281|142|Maison|D|1985|2025|5246
01281|114|Maison|E|1983|2025|6482
01281|106|Maison|D|1984|2025|6321
01313|151|Maison|C|2006|2025|5854
01313|100|Maison|G|1900|2025|3700
01313|300|Maison|D|1970|2025|2300
01313|115|Maison|C|2018|2025|6585
01313|101|Maison|C|2017|2025|6187
01313|152|Maison|C|2007|2025|5099
01313|232|Maison|F|1975|2025|3534
01313|125|Maison|C|2005|2025|5200
01313|72|Maison|G||2025|6250
01313|138|Maison|D|1987|2025|5435
01313|400|Maison|C|1990|2025|3061
01313|115|Maison|C|2018|2025|6256
01313|115|Maison|C|2016|2025|5826
01313|104|Maison|C|2017|2025|5769
01313|277|Maison|D|1995|2025|4401
01313|117|Maison|C|2014|2025|5943
01313|121|Maison|B|2010|2025|6198
01354|83|Maison|A|2016|2025|6145
01354|91|Maison|D|1999|2025|5385
01354|79|Maison|C|2016|2025|6432
01354|79|Maison|C|2015|2025|5063
01354|88|Maison|C|2016|2025|6534
01354|183|Maison|D||2025|3505
01354|127|Maison|B|2015|2025|6455
01354|78|Maison|D|1986|2025|6397
01354|151|Maison|C|2010|2025|5033
01354|280|Maison|E|1987|2025|1786
01354|212|Maison|D|1985|2025|2783
01354|112|Maison|C|2006|2025|5804
01354|110|Maison|C|2015|2025|5455
01354|105|Maison|A|2016|2025|7349
01354|121|Maison|C|2013|2025|5455
01354|244|Maison|E|1969|2025|3361
01354|176|Maison|E|1970|2025|4659
01354|149|Maison|C|1980|2025|5071
01354|292|Maison|F|1972|2025|2568
01354|178|Maison|G||2025|2528
01354|90|Maison|D|2008|2025|2166
01354|125|Maison|E|2005|2025|5389
01354|158|Maison|B|2011|2025|6785
01354|206|Maison|G|1971|2025|2767
01354|94|Maison|D|2006|2025|5106
01354|52|Maison|E|1972|2025|9808
01354|118|Maison|C||2025|4449
01354|148|Maison|C|2007|2025|4966
01401|185|Maison|C|1920|2025|3230
01401|260|Maison|D|1900|2025|1962
01401|171|Maison|C|2003|2025|5263
01401|138|Maison|C|2003|2025|6106
01401|141|Maison|D|2002|2025|4255
01401|130|Maison|C|2008|2025|5096
01419|190|Maison|C||2025|6132
01419|113|Maison|D|1972|2025|5189
01419|107|Maison|G|1957|2025|4196
01419|380|Maison|D|1900|2025|2263
01419|156|Maison|D|1996|2025|4808
01419|136|Maison|E|1985|2025|4504
01419|146|Maison|A|2013|2025|5169
01419|90|Maison|C|2011|2025|6062
01419|135|Maison|C|2001|2025|3630
01419|140|Maison|C|1998|2025|5564
01419|192|Maison|G||2025|6694
01419|74|Maison|C|2009|2025|6986
01419|125|Maison|C|2011|2025|5312
01419|118|Maison|C|2013|2025|5527
